t_s,centroid_x,error,duty,state
7.565,13,-0.9594,-21.20,TRACKING
7.617,,0.0000,15.00, SEARCH
7.670,,0.0000,15.00, SEARCH
7.723,,0.0000,15.00, SEARCH
7.775,,0.0000,15.00, SEARCH
7.828,,0.0000,15.00, SEARCH
7.881,,0.0000,15.00, SEARCH
7.933,,0.0000,15.00, SEARCH
7.987,,0.0000,15.00, SEARCH
8.041,,0.0000,15.00, SEARCH
8.094,,0.0000,15.00, SEARCH
8.146,,0.0000,15.00, SEARCH
8.199,,0.0000,15.00, SEARCH
8.252,,0.0000,15.00, SEARCH
8.305,,0.0000,15.00, SEARCH
8.357,,0.0000,15.00, SEARCH
8.410,,0.0000,15.00, SEARCH
8.462,,0.0000,15.00, SEARCH
8.515,,0.0000,15.00, SEARCH
8.568,,0.0000,15.00, SEARCH
8.620,,0.0000,15.00, SEARCH
8.673,,0.0000,15.00, SEARCH
8.726,,0.0000,15.00, SEARCH
8.778,,0.0000,15.00, SEARCH
8.831,,0.0000,15.00, SEARCH
8.884,554,0.7312,14.62,TRACKING
8.937,397,0.2406,-4.48,TRACKING
8.990,145,-0.5469,-25.83,TRACKING
9.043,42,-0.8688,-23.38,TRACKING
9.097,156,-0.5125,-3.66,TRACKING
