t_s,gx,gz,imu_rpm,wheel_rpm,error,duty,state
25.006,-0.7832,0.7852,-10.590,0.000,10.590,-10.590,ACTIVE
25.058,-0.7754,0.7773,-10.485,0.000,10.485,-10.485,ACTIVE
25.111,-0.7656,0.7695,-10.366,0.000,10.366,-10.366,ACTIVE
25.163,-0.7500,0.7539,-10.155,0.000,10.155,-10.155,ACTIVE
25.215,-0.7441,0.7500,-10.089,0.000,10.089,-10.089,ACTIVE
25.266,-0.7363,0.7402,-9.970,0.000,9.970,-9.970,ACTIVE
25.318,-0.7246,0.7285,-9.812,0.000,9.812,-9.812,ACTIVE
25.371,-0.7090,0.7188,-9.641,0.000,9.641,-9.641,ACTIVE
25.423,-0.6934,0.7090,-9.469,0.000,9.469,-9.469,ACTIVE
25.474,-0.6816,0.6973,-9.311,0.000,9.311,-9.311,ACTIVE
25.526,-0.6562,0.6738,-8.981,0.000,8.981,-8.981,ACTIVE
25.579,-0.6387,0.6602,-8.770,0.000,8.770,-8.770,ACTIVE
25.630,-0.6250,0.6445,-8.572,0.000,8.572,-8.572,ACTIVE
25.682,-0.6191,0.6191,-8.361,0.000,8.361,-8.361,ACTIVE
25.733,-0.6094,0.6016,-8.177,0.000,8.177,-8.177,ACTIVE
25.785,-0.5938,0.5820,-7.939,0.000,7.939,-7.939,ACTIVE
25.837,-0.5742,0.5684,-7.715,0.000,7.715,-7.715,ACTIVE
25.891,-0.5449,0.5469,-7.372,0.000,7.372,-7.372,ACTIVE
25.943,-0.5195,0.5312,-7.095,0.000,7.095,-7.095,ACTIVE
25.995,-0.5000,0.5059,-6.792,0.000,6.792,-6.792,ACTIVE
26.047,-0.4824,0.4746,-6.462,0.000,6.462,-6.462,ACTIVE
26.099,-0.4492,0.4395,-6.001,4.071,6.001,-6.001,ACTIVE
26.151,-0.4082,0.4043,-5.486,0.000,5.486,-5.486,ACTIVE
26.203,-0.3809,0.3828,-5.157,0.000,5.157,-5.157,ACTIVE
26.255,-0.3633,0.3691,-4.946,0.000,4.946,-4.946,ACTIVE
26.306,-0.3281,0.3438,-4.537,0.000,4.537,-4.537,ACTIVE
26.358,-0.3047,0.3086,-4.141,0.000,4.141,-4.141,ACTIVE
26.410,-0.2793,0.2773,-3.759,0.000,3.759,-3.759,ACTIVE
26.461,-0.2480,0.2441,-3.323,0.000,3.323,-3.323,ACTIVE
26.513,-0.2168,0.2168,-2.928,0.000,2.928,-2.928,ACTIVE
26.565,-0.1875,0.1895,-2.545,0.000,2.545,-2.545,ACTIVE
26.616,-0.1523,0.1582,-2.097,0.000,2.097,-2.097,ACTIVE
26.668,-0.1270,0.1211,-1.675,0.000,1.675,-1.675,ACTIVE
26.719,-0.0957,0.0938,-1.279,0.000,1.279,-1.279,ACTIVE
26.771,-0.0684,0.0645,-0.897,0.000,0.897,-0.897,ACTIVE
26.823,-0.0352,0.0371,-0.488,0.000,0.488,-0.488,ACTIVE
26.875,0.0137,-0.0176,0.211,0.000,-0.211,-0.000,HOLD
26.928,0.0410,-0.0410,0.554,0.000,-0.554,0.554,ACTIVE
26.980,0.0586,-0.0586,0.791,0.000,-0.791,0.791,ACTIVE
27.033,0.0781,-0.0781,1.055,0.000,-1.055,1.055,ACTIVE
27.085,0.0957,-0.0957,1.292,0.000,-1.292,1.292,ACTIVE
27.137,0.3086,-0.3027,4.128,0.000,-4.128,4.128,ACTIVE
27.190,3.2285,-3.1895,43.337,8.160,-43.337,43.337,ACTIVE
27.242,6.8066,-6.7832,91.764,24.693,-91.764,91.764,ACTIVE
27.294,6.1152,-6.1270,82.664,20.375,-82.664,82.664,ACTIVE
27.346,5.5859,-5.6680,75.991,16.645,-75.991,75.991,ACTIVE
27.399,5.0469,-5.1680,68.974,16.088,-68.974,68.974,ACTIVE
27.452,4.2891,-4.3066,58.041,16.094,-58.041,58.041,ACTIVE
27.505,3.3398,-3.3398,45.104,8.172,-45.104,45.104,ACTIVE
27.557,2.5566,-2.5488,34.474,4.113,-34.474,34.474,ACTIVE
27.609,1.8457,-1.8789,25.150,4.085,-25.150,25.150,ACTIVE
27.662,1.1387,-1.1816,15.668,4.021,-15.668,15.668,ACTIVE
27.715,0.4883,-0.5352,6.911,0.000,-6.911,6.911,ACTIVE
27.766,0.2266,-0.2500,3.218,0.000,-3.218,3.218,ACTIVE
27.819,0.1855,-0.1680,2.387,-4.082,-2.387,2.387,ACTIVE
27.871,0.2793,-0.2363,3.482,0.000,-3.482,3.482,ACTIVE
27.924,0.2168,-0.1641,2.572,0.000,-2.572,2.572,ACTIVE
27.975,0.4512,-0.4668,6.198,0.000,-6.198,6.198,ACTIVE
28.029,0.4277,-0.4609,6.001,0.000,-6.001,6.001,ACTIVE
28.080,0.4160,-0.4707,5.987,0.000,-5.987,5.987,ACTIVE
28.133,0.4004,-0.4492,5.737,0.000,-5.737,5.737,ACTIVE
28.184,0.4043,-0.4102,5.499,0.000,-5.499,5.499,ACTIVE
28.236,0.3965,-0.3828,5.262,0.000,-5.262,5.262,ACTIVE
28.288,0.3906,-0.3555,5.038,0.000,-5.038,5.038,ACTIVE
28.340,0.3691,-0.3379,4.774,0.000,-4.774,4.774,ACTIVE
28.393,0.3516,-0.3438,4.695,0.000,-4.695,4.695,ACTIVE
28.445,0.3184,-0.3320,4.392,0.000,-4.392,4.392,ACTIVE
28.498,0.2969,-0.3281,4.220,0.000,-4.220,4.220,ACTIVE
28.552,0.2852,-0.3008,3.956,0.000,-3.956,3.956,ACTIVE
28.604,0.2754,-0.2852,3.785,0.000,-3.785,3.785,ACTIVE
28.656,0.2676,-0.2676,3.614,0.000,-3.614,3.614,ACTIVE
28.709,0.2637,-0.2500,3.469,0.000,-3.469,3.469,ACTIVE
28.761,0.2480,-0.2266,3.205,0.000,-3.205,3.205,ACTIVE
28.813,0.2988,-0.2754,3.877,0.000,-3.877,3.877,ACTIVE
28.865,0.1152,-0.1035,1.477,0.000,-1.477,1.477,ACTIVE
28.917,-0.1855,0.2129,-2.690,-4.077,2.690,-2.690,ACTIVE
28.971,-1.2305,1.2422,-16.696,-8.048,16.696,-16.696,ACTIVE
29.023,-3.4277,3.4473,-46.423,-20.363,46.423,-46.423,ACTIVE
29.075,-6.4863,6.5527,-88.045,-25.018,88.045,-88.045,ACTIVE
29.127,-5.8477,5.9004,-79.327,-20.488,79.327,-79.327,ACTIVE
29.178,-5.0195,5.0566,-68.038,-16.703,68.038,-68.038,ACTIVE
29.230,-4.2676,4.3008,-57.857,-16.564,57.857,-57.857,ACTIVE
29.281,-3.6914,3.6699,-49.706,-12.528,49.706,-49.706,ACTIVE
29.334,-3.0762,3.0586,-41.424,-12.269,41.424,-41.424,ACTIVE
29.386,-2.7227,2.7539,-36.980,-8.219,36.980,-36.980,ACTIVE
29.438,-2.0664,2.1074,-28.183,-4.115,28.183,-28.183,ACTIVE
29.490,-1.3223,1.4141,-18.477,-4.141,18.477,-18.477,ACTIVE
29.542,-0.3926,0.4238,-5.513,0.000,5.513,-5.513,ACTIVE
29.594,0.0156,0.0098,0.040,0.000,-0.040,-0.000,HOLD
29.645,-0.1406,0.0938,-1.583,0.000,1.583,-1.583,ACTIVE
29.698,-0.3066,0.2617,-3.838,0.000,3.838,-3.838,ACTIVE
29.752,-0.2520,0.2363,-3.297,0.000,3.297,-3.297,ACTIVE
29.804,-0.1875,0.1914,-2.559,0.000,2.559,-2.559,ACTIVE
29.855,-0.1504,0.1836,-2.255,0.000,2.255,-2.255,ACTIVE
29.908,-0.1191,0.1523,-1.833,0.000,1.833,-1.833,ACTIVE
29.961,-0.1074,0.1172,-1.517,0.000,1.517,-1.517,ACTIVE
30.014,-0.0820,0.0684,-1.015,0.000,1.015,-1.015,ACTIVE
30.065,-0.0605,0.0312,-0.620,0.000,0.620,-0.620,ACTIVE
30.119,-0.0352,0.0059,-0.277,0.000,0.277,-0.000,HOLD
30.172,0.0156,-0.0215,0.251,0.000,-0.251,-0.000,HOLD
30.224,0.0781,-0.0566,0.910,0.000,-0.910,0.910,ACTIVE
30.276,0.1055,-0.0879,1.306,0.000,-1.306,1.306,ACTIVE
30.328,0.1074,-0.1074,1.451,0.000,-1.451,1.451,ACTIVE
30.382,0.1211,-0.1367,1.741,0.000,-1.741,1.741,ACTIVE
30.433,0.1348,-0.1445,1.886,0.000,-1.886,1.886,ACTIVE
30.486,0.1523,-0.1543,2.071,0.000,-2.071,2.071,ACTIVE
30.539,0.1738,-0.1738,2.348,0.000,-2.348,2.348,ACTIVE
30.591,0.1816,-0.1777,2.427,0.000,-2.427,2.427,ACTIVE
